Tissue	adiposesubcutaneous
N_samples	295
Chr	5
Gene	ENSG00000186468.8
SNP	rs226205
Gene_list	ENSG00000144713.8	ENSG00000134419.11	ENSG00000198242.9	ENSG00000124614.9	ENSG00000108298.5	ENSG00000105193.4	ENSG00000145592.9	ENSG00000131469.8	ENSG00000142937.7	ENSG00000265681.2	ENSG00000063177.8	ENSG00000143947.8	ENSG00000229117.4	ENSG00000171858.13	ENSG00000172809.8	ENSG00000149273.10	ENSG00000186468.8	ENSG00000071082.6	ENSG00000182899.10	ENSG00000197756.5
Gene expression stats (Y^T * Y): 
285.302015061	256.371606612	253.91218534	241.610717952	265.168328996	240.348634109	242.042105064	245.859423964	244.609582938	247.149224646	249.484118847	248.680970572	249.533778486	244.486114635	242.496517654	232.790563379	246.71827545	262.707010401	253.677602665	249.338136323
256.371606612	285.302015061	249.973991763	241.927586826	243.308080576	228.640121775	212.996289479	255.643117571	239.009904735	245.078265164	235.876419361	252.670959695	240.148562699	238.057646323	228.814284361	228.329862179	243.323382124	247.256509625	261.505191949	230.569996408
253.91218534	249.973991763	285.302015061	231.824882627	249.514199317	236.290945253	219.695884946	240.777188375	237.319745127	235.852728308	222.739517053	241.94020216	237.734306925	228.047033632	225.838957606	223.322983945	240.552486207	248.705284584	234.247802787	243.240107734
241.610717952	241.927586826	231.824882627	285.302015061	250.906862328	239.234931882	218.856158009	246.665950448	236.885872331	238.194032662	248.141230371	241.894730385	237.201625182	254.003382447	223.270384836	234.642612678	238.002899283	237.81685981	233.060801371	230.150793495
265.168328996	243.308080576	249.514199317	250.906862328	285.302015061	245.10635622	247.633665041	236.910398619	249.665486647	249.942220103	259.843896271	249.511217661	254.076184937	246.003578538	239.639057952	239.515730484	245.449329368	251.89169785	240.555429966	245.955913597
240.348634109	228.640121775	236.290945253	239.234931882	245.10635622	285.302015061	221.242425197	232.539875958	223.496610874	216.869640858	246.097951959	215.972083944	236.114078526	252.775769351	241.610312218	227.310840368	235.970946882	230.053254859	211.010854711	254.71264343
242.042105064	212.996289479	219.695884946	218.856158009	247.633665041	221.242425197	285.302015061	211.146652056	207.279509455	223.822570429	214.777143835	225.657622352	251.037563842	219.376915489	249.663107654	197.769920281	228.262811738	225.660719857	210.769493047	242.441535501
245.859423964	255.643117571	240.777188375	246.665950448	236.910398619	232.539875958	211.146652056	285.302015061	226.151205746	228.23366539	228.865908152	235.849887306	230.887237022	242.733638321	230.579007363	211.49613818	232.013045176	239.97386575	246.702911454	232.997440702
244.609582938	239.009904735	237.319745127	236.885872331	249.665486647	223.496610874	207.279509455	226.151205746	285.302015061	250.644444566	247.741846811	243.8270745	234.773867325	220.132826614	201.412730596	248.839504787	230.043856617	239.284641741	233.344521228	215.699164369
247.149224646	245.078265164	235.852728308	238.194032662	249.942220103	216.869640858	223.822570429	228.23366539	250.644444566	285.302015061	238.474640748	256.462901202	236.890532558	221.396898905	218.138892114	242.777020908	243.163455978	235.629620031	240.17813189	218.72713084
